season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,update_dt,headshot_url
1999,ARI,FB,NA,39,NA,Dennis McKinley,Dennis,McKinley,1976-11-03,6-2,245,Mississippi State,NA,00-0010951,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCK395782.png
1999,ARI,FS,NA,42,NA,Kwamie Lassiter,Kwamie,Lassiter,1969-12-03,6-0,197,Kansas,NA,00-0009659,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LAS648660.png
1999,ARI,G,NA,68,NA,Yusuf Scott,Yusuf,Scott,1976-11-30,6-3,332,Arizona,NA,00-0014589,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SCO784422.png
1999,ARI,G,NA,67,NA,Chris Dishman,Chris,Dishman,1974-02-27,6-3,338,Nebraska,NA,00-0004336,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DIS613185.png
1999,ARI,G,NA,71,NA,Lester Holmes,Lester,Holmes,1969-09-27,6-5,330,Jackson State,NA,00-0007660,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HOL603272.png
1999,ARI,K,NA,13,NA,Chris Jacke,Chris,Jacke,1966-03-12,6-0,207,Texas-El Paso,NA,00-0008080,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JAC009028.png
1999,ARI,LB,NA,53,NA,Mark Maddox,Mark,Maddox,1968-03-23,6-1,238,Northern Michigan,NA,00-0010259,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAD419486.png
1999,ARI,LB,NA,51,NA,Johnny Rutledge,Johnny,Rutledge,1977-01-04,6-3,242,Florida,NA,00-0014209,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RUT743171.png
1999,ARI,LB,NA,58,NA,James Folston,James,Folston,1971-08-14,6-3,240,Louisiana-Monroe,NA,00-0005392,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FOL652410.png
1999,ARI,LB,NA,56,NA,Melvin Bradley,Melvin,Bradley,1976-08-15,6-1,268,Arkansas,NA,00-0001647,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA224510.png
1999,ARI,MLB,NA,57,NA,Ronald McKinnon,Ronald,McKinnon,1973-09-20,6-0,240,North Alabama,NA,00-0010970,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCK662336.png
1999,ARI,OLB,NA,52,NA,Zack Walz,Zack,Walz,1976-02-13,6-4,219,Dartmouth,NA,00-0017148,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAL830010.png
1999,ARI,OLB,NA,55,NA,Patrick Sapp,Patrick,Sapp,1973-05-11,6-4,258,Clemson,NA,00-0014357,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SAP610185.png
1999,ARI,OLB,NA,59,NA,Rob Fredrickson,Rob,Fredrickson,1971-05-13,6-4,235,Michigan State,NA,00-0005560,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FRE105786.png
1999,ARI,P,NA,10,NA,Scott Player,Scott,Player,1969-12-17,6-1,221,Florida State,NA,00-0013028,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PLA800918.png
1999,ARI,QB,NA,16,NA,Jake Plummer,Jake,Plummer,1974-12-19,6-2,199,Arizona State,NA,00-0013042,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PLU243945.png
1999,ARI,QB,NA,15,NA,Chris Greisen,Chris,Greisen,1976-07-02,6-3,225,Northwest Missouri State,NA,00-0006410,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRE805046.png
1999,ARI,QB,NA,17,NA,Dave Brown,Dave,Brown,1970-02-25,6-6,225,Duke,NA,00-0001907,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO381657.png
1999,ARI,RB,NA,24,NA,Mario Bates,Mario,Bates,1973-01-16,6-2,237,Arizona State,NA,00-0000871,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAT111777.png
1999,ARI,RB,NA,29,NA,Adrian Murrell,Adrian,Murrell,1970-10-16,5-11,211,West Virginia,NA,00-0011869,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MUR719159.png
1999,ARI,RB,NA,32,NA,Michael Pittman,Michael,Pittman,1975-08-14,6-0,220,Fresno State,NA,00-0013013,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PIT226738.png
1999,ARI,SS,NA,28,NA,Tommy Bennett,Tommy,Bennett,1973-02-19,6-2,212,UCLA,NA,00-0001114,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BEN447808.png
1999,ARI,T,NA,73,NA,Matt Joyce,Matt,Joyce,1972-03-30,6-7,305,Richmond,NA,00-0008950,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOY185396.png
1999,ARI,T,NA,70,NA,L.J. Shelton,L.J.,Shelton,1976-03-21,6-5,343,Eastern Michigan,NA,00-0014776,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SHE428521.png
1999,ARI,T,NA,79,NA,Jon Clark,Jon,Clark,1973-03-11,6-7,345,Temple,NA,00-0003045,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CLA391108.png
1999,ARI,T,NA,65,NA,Anthony Clement,Anthony,Clement,1976-04-10,6-8,355,Louisiana-Lafayette,NA,00-0003105,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CLE167954.png
1999,ARI,T,NA,72,NA,Jerome Daniels,Jerome,Daniels,1974-09-13,6-5,350,Northeastern,NA,00-0003869,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAN570056.png
1999,ARI,T,NA,64,NA,James Dexter,James,Dexter,1973-03-03,6-7,320,South Carolina,NA,00-0004250,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DEX622937.png
1999,ARI,T,NA,75,NA,Ernest Dye,Ernest,Dye,1971-07-15,6-6,330,South Carolina,NA,00-0004678,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DYE194145.png
1999,ARI,TE,NA,86,NA,Trey Junkin,Trey,Junkin,1961-01-23,6-2,245,Louisiana Tech,NA,00-0008961,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JUN498348.png
1999,ARI,TE,NA,87,NA,Johnny McWilliams,Johnny,McWilliams,1972-12-14,6-4,267,USC,NA,00-0011068,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCW490098.png
1999,ARI,TE,NA,80,NA,Terry Hardy,Terry,Hardy,1976-05-31,6-4,271,Southern Mississippi,NA,00-0006848,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAR128014.png
1999,ARI,TE,NA,48,NA,Jarius Hayes,Jarius,Hayes,1973-03-27,6-3,266,North Alabama,NA,00-0007147,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAY207637.png
1999,ARI,TE,NA,83,NA,Derek Brown,Derek,Brown,1970-03-31,6-6,271,Notre Dame,NA,00-0001919,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO391782.png
1999,ARI,WR,NA,85,NA,Rob Moore,Rob,Moore,1968-09-27,6-3,202,Syracuse,NA,00-0011601,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOO663262.png
1999,ARI,WR,NA,81,NA,Frank Sanders,Frank,Sanders,1973-02-17,6-2,204,Auburn,NA,00-0014328,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SAN326913.png
1999,ARI,WR,NA,84,NA,Andy McCullough,Andy,McCullough,1975-11-11,6-3,210,Tennessee,NA,00-0010762,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCC749526.png
1999,ARI,WR,NA,82,NA,Mac Cody,Mac,Cody,1972-08-07,5-11,182,Memphis,NA,00-0003175,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COD507576.png
1999,ARI,WR,NA,19,NA,MarTay Jenkins,MarTay,Jenkins,1975-02-28,5-11,203,Nebraska-Omaha,NA,00-0008357,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JEN397575.png
1999,ARI,WR,NA,89,NA,David Boston,David,Boston,1978-08-19,6-2,210,Ohio State,NA,00-0001532,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BOS674793.png
1999,ATL,C,NA,61,NA,Robbie Tobeck,Robbie,Tobeck,1970-03-06,6-4,298,Washington State,NA,00-0016505,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TOB078787.png
1999,ATL,C,NA,62,NA,Todd McClure,Todd,McClure,1977-02-16,6-1,292,LSU,NA,00-0010711,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCC451792.png
1999,ATL,CB,NA,23,NA,Ronnie Bradford,Ronnie,Bradford,1970-10-01,5-10,195,Colorado,NA,00-0001630,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA101224.png
1999,ATL,CB,NA,34,NA,Ray Buchanan,Ray,Buchanan,1971-09-29,5-9,185,Louisville,NA,00-0002166,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUC184360.png
1999,ATL,DB,NA,21,NA,Elijah Williams,Elijah,Williams,1975-08-20,5-10,181,Florida,NA,00-0017787,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL256864.png
1999,ATL,DB,NA,30,NA,Derrick Gardner,Derrick,Gardner,1977-03-10,6-0,185,California,Kingswood-Oxford (CT),NA,4044121,af534c7d-791e-4b7f-900d-2d8fd47c0d2a,33209,14503,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GAR164545.png
1999,ATL,DB,NA,35,NA,Johndale Carty,Johndale,Carty,1977-08-27,6-0,203,Utah State,NA,00-0002775,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAR809045.png
1999,ATL,DB,NA,20,NA,Michael Booker,Michael,Booker,1975-04-27,6-2,200,Nebraska,NA,00-0001478,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BOO044465.png
1999,ATL,DB,NA,27,NA,Omar Brown,Omar,Brown,1975-03-28,5-10,200,North Carolina,NA,00-0002010,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO567732.png
1999,ATL,DE,NA,92,NA,Lester Archambeau,Lester,Archambeau,1967-06-27,6-5,275,Stanford,NA,00-0000405,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ARC138430.png
1999,ATL,DE,NA,93,NA,Shawn Swayda,Shawn,Swayda,1974-09-04,6-5,297,Arizona State,NA,00-0015957,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SWA761708.png
1999,ATL,DE,NA,97,NA,Patrick Kerney,Patrick,Kerney,1976-12-30,6-5,269,Virginia,NA,00-0009173,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KER459393.png
1999,ATL,DE,NA,77,NA,Pellom McDaniels,Pellom,McDaniels,1968-02-21,6-3,295,Oregon State,NA,00-0010792,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCD167200.png
1999,ATL,DE,NA,90,NA,Chuck Smith,Chuck,Smith,1969-12-21,6-2,262,Tennessee,NA,00-0015124,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SMI136060.png
1999,ATL,DT,NA,98,NA,Travis Hall,Travis,Hall,1972-08-03,6-5,300,Brigham Young,NA,00-0006684,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAL550875.png
1999,ATL,DT,NA,91,NA,Ben Huff,Ben,Huff,1975-02-21,6-4,297,Michigan,NA,00-0007867,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HUF077866.png
1999,ATL,DT,NA,95,NA,Ed Jasper,Ed,Jasper,1973-01-18,6-2,305,Texas A&M,NA,00-0008284,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JAS254361.png
1999,ATL,DT,NA,75,NA,Shane Dronett,Shane,Dronett,1971-01-12,6-6,298,Texas,NA,00-0004543,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DRO207645.png
1999,ATL,FB,NA,44,NA,Bob Christian,Bob,Christian,1968-11-14,5-11,232,Northwestern,NA,00-0002970,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHR364011.png
1999,ATL,FS,NA,41,NA,Eugene Robinson,Eugene,Robinson,1963-05-28,6-1,200,Colgate,NA,00-0013860,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROB424316.png
1999,ATL,G,NA,65,NA,Greg Bishop,Greg,Bishop,1971-05-02,6-5,315,U. of Pacific,NA,00-0001267,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BIS359918.png
1999,ATL,G,NA,63,NA,Evan Pilgrim,Evan,Pilgrim,1972-08-14,6-4,305,Brigham Young,NA,00-0012990,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PIL199954.png
1999,ATL,G,NA,69,NA,Gene Williams,Gene,Williams,1968-10-14,6-2,320,Iowa State,NA,00-0017796,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL276250.png
1999,ATL,G,NA,67,NA,Adam Schreiber,Adam,Schreiber,1962-02-20,6-4,295,Texas,NA,00-0014486,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SCH498318.png
1999,ATL,G,NA,68,NA,Calvin Collins,Calvin,Collins,1974-01-05,6-2,305,Texas A&M,NA,00-0003269,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COL520390.png
1999,ATL,G,NA,64,NA,Bob Hallen,Bob,Hallen,1975-03-09,6-4,305,Kent State,NA,00-0006688,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAL633365.png
1999,ATL,K,NA,5,NA,Morten Andersen,Morten,Andersen,1960-08-19,6-2,222,Michigan State,NA,00-0000282,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AND020258.png
1999,ATL,LB,NA,51,NA,Jeff Kelly,Jeff,Kelly,1975-12-13,5-11,256,Kansas State,NA,00-0009110,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KEL619353.png
1999,ATL,LB,NA,55,NA,Whit Marshall,Whit,Marshall,1973-01-06,6-2,245,Georgia,NA,00-0010430,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAR464274.png
1999,ATL,LB,NA,52,NA,Craig Sauer,Craig,Sauer,1972-12-31,6-1,235,Minnesota,NA,00-0014376,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SAU051507.png
1999,ATL,LB,NA,50,NA,Lamont Green,Lamont,Green,1976-07-10,6-3,230,Florida State,NA,00-0006335,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRE298653.png
1999,ATL,LB,NA,54,NA,Ruffin Hamilton,Ruffin,Hamilton,1971-03-02,6-1,235,Tulane,NA,00-0006728,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAM344281.png
1999,ATL,MLB,NA,58,NA,Jessie Tuggle,Jessie,Tuggle,1965-04-04,5-11,230,Valdosta State,NA,00-0016667,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TUG415290.png
1999,ATL,OLB,NA,94,NA,Henri Crockett,Henri,Crockett,1974-10-28,6-2,238,Florida State,NA,00-0003660,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CRO026651.png
1999,ATL,OLB,NA,56,NA,Keith Brooking,Keith,Brooking,1975-10-30,6-2,242,Georgia Tech,NA,00-0001820,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO110262.png
1999,ATL,P,NA,4,NA,Dan Stryzinski,Dan,Stryzinski,1965-05-15,6-2,200,Indiana,NA,00-0015842,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STR788312.png
1999,ATL,QB,NA,13,NA,Danny Kanell,Danny,Kanell,1973-11-21,6-3,220,Florida State,NA,00-0009007,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KAN382648.png
1999,ATL,QB,NA,14,NA,Wally Richardson,Wally,Richardson,1974-02-11,6-4,225,Penn State,NA,00-0013695,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RIC637240.png
1999,ATL,QB,NA,7,NA,Tony Graziani,Tony,Graziani,1973-12-23,6-2,215,Oregon,NA,00-0006299,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRA827270.png
1999,ATL,QB,NA,12,NA,Chris Chandler,Chris,Chandler,1965-10-12,6-4,225,Washington,NA,00-0002876,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHA222838.png
1999,ATL,RB,NA,32,NA,Jamal Anderson,Jamal,Anderson,1972-09-30,5-11,235,Utah,NA,00-0000316,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AND291208.png
1999,ATL,RB,NA,33,NA,Winslow Oliver,Winslow,Oliver,1973-03-03,5-7,180,New Mexico,NA,00-0012368,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/OLI788415.png
1999,ATL,RB,NA,28,NA,Ken Oxendine,Ken,Oxendine,1975-10-04,6-0,230,Virginia Tech,NA,00-0012480,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/OXE444955.png
1999,ATL,RB,NA,40,NA,Jeff Paulk,Jeff,Paulk,1976-04-26,6-0,242,Arizona State,NA,00-0012675,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PAU557540.png
1999,ATL,RB,NA,24,NA,Byron Hanspard,Byron,Hanspard,1976-01-23,5-10,200,Texas Tech,NA,00-0006803,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAN779808.png
1999,ATL,RB,NA,45,NA,Gary Downs,Gary,Downs,1972-06-06,6-1,218,North Carolina State,NA,00-0004495,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOW680145.png
1999,ATL,SS,NA,22,NA,Gerald McBurrows,Gerald,McBurrows,1973-10-07,5-11,205,Kansas,NA,00-0010646,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCB751477.png
1999,ATL,SS,NA,25,NA,Marty Carter,Marty,Carter,1969-12-17,6-1,210,Middle Tennessee State,NA,00-0002748,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAR716512.png
1999,ATL,T,NA,70,NA,Bob Whitfield,Bob,Whitfield,1971-10-18,6-5,315,Stanford,NA,00-0017592,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WHI657906.png
1999,ATL,T,NA,76,NA,Jose Portilla,Jose,Portilla,1972-09-11,6-6,315,Arizona,NA,00-0013138,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/POR780192.png
1999,ATL,T,NA,74,NA,Ephraim Salaam,Ephraim,Salaam,1976-06-19,6-7,310,San Diego State,NA,00-0014255,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SAL058019.png
1999,ATL,TE,NA,84,NA,Rod Monroe,Rod,Monroe,1976-07-30,6-4,254,Cincinnati,NA,00-0011488,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MON311173.png
1999,ATL,TE,NA,89,NA,Reggie Kelly,Reggie,Kelly,1977-02-22,6-3,250,Mississippi State,NA,00-0009119,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KEL732070.png
