season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,update_dt,headshot_url
2010,ARI,DB,NA,39,CUT,Trevor Ford,Trevor,Ford,1986-02-19,6-0,188,Troy,NA,00-0026815,NA,NA,NA,NA,5411,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FOR335062.png
2010,ARI,DB,NA,22,ACT,Matt Ware,Matt,Ware,1982-12-02,6-3,218,UCLA,NA,00-0022786,NA,NA,NA,NA,1810,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAR361925.png
2010,ARI,DB,NA,47,CUT,Justin Miller,Justin,Miller,1984-02-14,5-11,186,Clemson,NA,00-0023492,NA,NA,NA,NA,2274,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MIL366437.png
2010,ARI,DB,NA,26,CUT,Aaron Rouse,Aaron,Rouse,1984-01-08,6-4,227,Virginia Tech,NA,00-0025476,NA,NA,NA,NA,3705,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROU320232.png
2010,ARI,DB,NA,21,ACT,Hamza Abdullah,Hamza,Abdullah,1983-08-20,6-2,216,Washington State,NA,00-0023663,NA,NA,NA,NA,2448,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ABD655601.png
2010,ARI,DE,NA,90,ACT,Darnell Dockett,Darnell,Dockett,1981-05-27,6-4,290,Florida State,NA,00-0022930,NA,NA,NA,NA,1785,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOC428041.png
2010,ARI,DE,NA,NA,CUT,John Fletcher,John,Fletcher,1985-12-06,6-6,265,Wyoming,NA,00-0027558,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FLE650159.png
2010,ARI,DE,NA,93,ACT,Calais Campbell,Calais,Campbell,1986-09-01,6-8,300,Miami (Fla.),Denver South (CO),00-0026190,11284,0333b8f0-3aab-45aa-a684-6d402a309413,8827,5587,4364,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAM208843.png
2010,ARI,DE,NA,91,RES,Kenny Iwebema,Kenny,Iwebema,1985-02-06,6-4,280,Iowa,NA,00-0026256,NA,NA,NA,NA,4430,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/IWE088990.png
2010,ARI,DE,NA,64,CUT,Dean Muhtadi,Dean,Muhtadi,1986-07-17,6-3,296,Maryland,NA,00-0026816,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MUH733681.png
2010,ARI,DE,NA,NA,DEV,Jeremy Navarre,Jeremy,Navarre,1987-03-16,6-3,279,Maryland,NA,00-0026612,NA,NA,NA,NA,5268,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/NAV128679.png
2010,ARI,DE,NA,NA,DEV,Brandon Sharpe,Brandon,Sharpe,1986-12-11,6-3,254,Texas Tech,NA,00-0027544,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SHA431264.png
2010,ARI,DE,NA,NA,DEV,Ronald Talley,Ronald,Talley,1986-02-21,6-3,286,Delaware,NA,00-0026791,NA,NA,NA,NA,5396,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAL662347.png
2010,ARI,DE,NA,78,ACT,Alan Branch,Alan,Branch,1984-12-29,6-6,338,Michigan,NA,00-0025420,NA,NA,NA,NA,3649,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA489251.png
2010,ARI,DT,NA,NA,RES,Keilen Dykes,Keilen,Dykes,1984-09-06,6-3,305,West Virginia,NA,00-0025931,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DYK377536.png
2010,ARI,DT,NA,92,ACT,Dan Williams,Dan,Williams,1987-06-01,6-2,327,Tennessee,NA,00-0027877,NA,NA,NA,NA,5551,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL206531.png
2010,ARI,FS,NA,25,ACT,Kerry Rhodes,Kerry,Rhodes,1982-08-02,6-3,212,Louisville,NA,00-0023557,NA,NA,NA,NA,2340,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RHO457261.png
2010,ARI,FS,NA,49,ACT,Rashad Johnson,Rashad,Johnson,1986-01-02,5-11,204,Alabama,NA,00-0027067,NA,NA,NA,NA,5018,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH590218.png
2010,ARI,G,NA,66,ACT,Alan Faneca,Alan,Faneca,1976-12-07,6-5,316,LSU,NA,00-0005058,NA,NA,NA,NA,346,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FAN049971.png
2010,ARI,G,NA,68,DEV,Tom Pestock,Tom,Pestock,1984-09-13,6-6,317,Northwest Missouri State,NA,00-0026667,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PES581406.png
2010,ARI,G,NA,76,ACT,Deuce Lutui,Deuce,Lutui,1983-05-05,6-4,338,USC,NA,00-0024256,NA,NA,NA,NA,2986,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LUT476816.png
2010,ARI,ILB,NA,54,ACT,Gerald Hayes,Gerald,Hayes,1980-10-10,6-1,250,Pittsburgh,NA,00-0021941,NA,NA,NA,NA,1385,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAY169450.png
2010,ARI,ILB,NA,58,ACT,Daryl Washington,Daryl,Washington,1986-10-09,6-2,230,Texas Christian,NA,00-0027886,NA,NA,NA,NA,5572,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAS186798.png
2010,ARI,ILB,NA,51,ACT,Paris Lenon,Paris,Lenon,1977-11-26,6-2,240,Richmond,NA,00-0019104,NA,NA,NA,NA,751,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LEN394692.png
2010,ARI,K,NA,4,ACT,Jay Feely,Jay,Feely,1976-05-23,5-10,208,Michigan,NA,00-0019770,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FEE461435.png
2010,ARI,LB,NA,56,ACT,Reggie Walker,Reggie,Walker,1986-12-15,6-0,244,Kansas State,NA,00-0026727,NA,NA,NA,NA,5351,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAL309457.png
2010,ARI,LB,NA,96,CUT,Mark Washington,Mark,Washington,1985-08-20,6-3,258,Texas State,NA,00-0025790,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAS527550.png
2010,ARI,LB,NA,50,ACT,O'Brien Schofield,O'Brien,Schofield,1987-04-03,6-2,231,Wisconsin,NA,00-0027730,NA,NA,NA,NA,5653,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SCH441573.png
2010,ARI,LB,NA,52,ACT,Cyril Obiozor,Cyril,Obiozor,1986-09-26,6-4,249,Texas A&M,NA,00-0026788,NA,NA,NA,NA,5394,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/OBI474619.png
2010,ARI,LB,NA,51,DEV,Pago Togafau,Pago,Togafau,1984-01-10,5-11,242,Idaho State,NA,00-0025667,NA,NA,NA,NA,4193,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAG045826.png
2010,ARI,LB,NA,57,CUT,Stevie Baggs,Stevie,Baggs,1981-12-30,6-1,240,Bethune-Cookman,NA,00-0022949,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAG677964.png
2010,ARI,LB,NA,52,CUT,Monty Beisel,Monty,Beisel,1978-08-20,6-4,246,Kansas State,NA,00-0020478,NA,NA,NA,NA,862,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BEI678650.png
2010,ARI,LS,NA,82,ACT,Mike Leach,Mike,Leach,1976-10-18,6-2,235,William & Mary,NA,00-0019435,NA,NA,NA,NA,750,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LEA091822.png
2010,ARI,NT,NA,98,ACT,Gabe Watson,Gabe,Watson,1983-09-24,6-4,338,Michigan,NA,00-0024322,NA,NA,NA,NA,3052,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAT365890.png
2010,ARI,NT,NA,97,ACT,Bryan Robinson,Bryan,Robinson,1974-06-22,6-4,305,Fresno State,NA,00-0013845,NA,NA,NA,NA,321,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROB372405.png
2010,ARI,OG,NA,74,ACT,D'Anthony Batiste,D'Anthony,Batiste,1982-03-29,6-4,314,Louisiana-Lafayette,NA,00-0024483,NA,NA,NA,NA,3223,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAT269680.png
2010,ARI,OLB,NA,59,RES,Will Davis,Will,Davis,1986-06-02,6-2,257,Illinois,NA,00-0026939,NA,NA,NA,NA,5128,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV797574.png
2010,ARI,OLB,NA,53,ACT,Clark Haggans,Clark,Haggans,1977-01-10,6-4,243,Colorado State,NA,00-0019538,NA,NA,NA,NA,670,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAG475070.png
2010,ARI,OLB,NA,57,ACT,Curtis Gatewood,Curtis,Gatewood,1985-05-18,6-3,250,Vanderbilt,NA,00-0025906,NA,NA,NA,NA,4627,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GAT206680.png
2010,ARI,OLB,NA,55,ACT,Joey Porter,Joey,Porter,1977-03-22,6-3,248,Colorado State,NA,00-0013126,NA,NA,NA,NA,484,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/POR135132.png
2010,ARI,OT,NA,75,ACT,Levi Brown,Levi,Brown,1984-03-16,6-6,324,Penn State,NA,00-0025392,NA,NA,NA,NA,3621,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO548586.png
2010,ARI,P,NA,5,ACT,Ben Graham,Ben,Graham,1973-11-02,6-5,236,Deakin (Australia),NA,00-0022954,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRA128871.png
2010,ARI,QB,NA,6,RES,Max Hall,Max,Hall,1985-10-01,6-1,205,Brigham Young,NA,00-0027347,NA,NA,NA,NA,5878,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAL445025.png
2010,ARI,QB,NA,19,ACT,John Skelton,John,Skelton,1988-03-17,6-5,244,Fordham,NA,00-0027754,NA,NA,NA,NA,5678,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SKE601491.png
2010,ARI,QB,NA,2,ACT,Richard Bartel,Richard,Bartel,1983-02-03,6-3,230,Tarleton State,NA,00-0025749,NA,NA,NA,NA,3884,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAR721770.png
2010,ARI,QB,NA,3,ACT,Derek Anderson,Derek,Anderson,1983-06-15,6-6,235,Oregon State,NA,00-0023645,NA,NA,NA,NA,2430,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AND180512.png
2010,ARI,RB,NA,32,RES,Nehemiah Broughton,Nehemiah,Broughton,1982-11-04,5-11,255,The Citadel,NA,00-0023654,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO209220.png
2010,ARI,RB,NA,26,ACT,Beanie Wells,Beanie,Wells,1988-08-07,6-2,229,Ohio State,NA,00-0027007,NA,NA,NA,NA,4954,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WEL350689.png
2010,ARI,RB,NA,31,ACT,Jason Wright,Jason,Wright,1982-07-12,5-10,212,Northwestern,NA,00-0022288,NA,NA,NA,NA,2212,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WRI393494.png
2010,ARI,RB,NA,34,ACT,Tim Hightower,Tim,Hightower,1986-05-23,6-0,222,Richmond,NA,00-0026289,NA,NA,NA,NA,4463,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HIG784208.png
2010,ARI,RB,NA,NA,DEV,Alfonso Smith,Alfonso,Smith,1987-01-23,6-1,208,Kentucky,NA,00-0027346,NA,NA,NA,NA,5877,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SMI031319.png
2010,ARI,RB,NA,48,CUT,Jerome Johnson,Jerome,Johnson,1985-01-19,6-1,258,Nevada,NA,00-0026598,NA,NA,NA,NA,5258,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH343855.png
2010,ARI,RB,NA,45,ACT,Reagan Maui'a,Reagan,Maui'a,1984-07-06,6-0,260,Hawaii,NA,00-0025568,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAU280858.png
2010,ARI,RB,NA,36,ACT,LaRod Stephens-Howling,LaRod,Stephens-Howling,1987-04-26,5-7,185,Pittsburgh,NA,00-0026956,NA,NA,NA,NA,5164,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STE477247.png
2010,ARI,RB,NA,38,CUT,Charles Ali,Charles,Ali,1984-08-23,6-2,255,Arkansas-Pine Bluff,NA,00-0024763,NA,NA,NA,NA,4187,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ALI029662.png
2010,ARI,SS,NA,24,ACT,Adrian Wilson,Adrian,Wilson,1979-10-12,6-3,230,North Carolina State,NA,00-0020505,NA,NA,NA,NA,831,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL647976.png
2010,ARI,T,NA,NA,DEV,Cliff Louis,Cliff,Louis,1984-08-24,6-8,315,Morgan State,NA,00-0024810,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LOU654677.png
2010,ARI,T,NA,72,RES,Brandon Keith,Brandon,Keith,1984-11-21,6-5,335,Northern Iowa,NA,00-0026365,NA,NA,NA,NA,4539,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KEI389074.png
2010,ARI,T,NA,69,CUT,Casey Knips,Casey,Knips,1987-03-02,6-8,300,South Dakota State,NA,00-0027348,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KNI804587.png
2010,ARI,T,NA,73,ACT,Jeremy Bridges,Jeremy,Bridges,1980-04-19,6-5,318,Southern Mississippi,NA,00-0021974,NA,NA,NA,NA,1488,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRI127961.png
2010,ARI,TE,NA,81,ACT,Jim Dray,Jim,Dray,1986-12-31,6-5,255,Stanford,NA,00-0027825,NA,NA,NA,NA,5756,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DRA632509.png
2010,ARI,TE,NA,86,CUT,Dominique Byrd,Dominique,Byrd,1984-02-07,6-3,255,USC,NA,00-0024308,NA,NA,NA,NA,3038,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BYR310270.png
2010,ARI,TE,NA,83,ACT,Stephen Spach,Stephen,Spach,1982-07-18,6-4,260,Fresno State,NA,00-0023108,NA,NA,NA,NA,2789,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SPA047461.png
2010,ARI,TE,NA,89,ACT,Ben Patrick,Ben,Patrick,1984-08-23,6-3,264,Delaware,NA,00-0025602,NA,NA,NA,NA,3831,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PAT171702.png
2010,ARI,TE,NA,84,CUT,Anthony Becht,Anthony,Becht,1977-08-08,6-6,270,West Virginia,NA,00-0019457,NA,NA,NA,NA,602,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BEC035999.png
2010,ARI,WR,NA,80,RES,Early Doucet,Early,Doucet,1985-10-28,6-0,212,LSU,NA,00-0026221,NA,NA,NA,NA,4395,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOU051723.png
2010,ARI,WR,NA,11,ACT,Larry Fitzgerald,Larry,Fitzgerald,1983-08-31,6-3,218,Pittsburgh,Holy Angels (MN),00-0022921,5528,b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5,6762,3730,1724,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FIT437493.png
2010,ARI,WR,NA,NA,CUT,Tim Brown,Tim,Brown,1987-11-09,5-8,165,Rutgers,NA,00-0027260,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO733548.png
2010,ARI,WR,NA,NA,DEV,Isaiah Williams,Isaiah,Williams,1987-01-30,6-3,200,Maryland,NA,00-0026864,NA,NA,NA,NA,5517,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL319061.png
2010,ARI,WR,NA,14,ACT,Stephen Williams,Stephen,Williams,1986-06-29,6-5,208,Toledo,NA,00-0027349,NA,NA,NA,NA,5880,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL527878.png
2010,ARI,WR,NA,NA,CUT,Michael Jones,Michael,Jones,1986-09-09,6-4,212,Arizona State,NA,00-0026841,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JON623786.png
2010,ARI,WR,NA,17,CUT,Onrea Jones,Onrea,Jones,1983-12-22,5-11,202,Hampton,NA,00-0024645,NA,NA,NA,NA,4261,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JON637044.png
2010,ARI,WR,NA,12,ACT,Andre Roberts,Andre,Roberts,1988-01-09,5-11,195,The Citadel,Spring Valley (SC),00-0027691,13226,9691f874-be36-4529-a7eb-dde22ee4a848,24063,6506,5612,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROB102317.png
2010,ARI,WR,NA,18,ACT,Max Komar,Max,Komar,1987-04-30,5-11,202,Idaho,NA,00-0027352,NA,NA,NA,NA,5883,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KOM221145.png
2010,ARI,WR,NA,85,CUT,Darren Mougey,Darren,Mougey,1985-04-07,6-5,219,San Diego State,NA,00-0026503,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOU221487.png
2010,ARI,WR,NA,15,ACT,Steve Breaston,Steve,Breaston,1983-08-20,6-0,189,Michigan,NA,00-0025529,NA,NA,NA,NA,3758,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRE019124.png
2010,ATL,C,NA,61,ACT,Joe Hawley,Joe,Hawley,1988-10-22,6-3,297,Nevada-Las Vegas,NA,00-0027717,NA,NA,NA,NA,5641,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAW653722.png
2010,ATL,C,NA,67,DEV,Rob Bruggeman,Rob,Bruggeman,1986-03-21,6-3,288,Iowa,NA,00-0026638,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRU262601.png
2010,ATL,C,NA,62,ACT,Todd McClure,Todd,McClure,1977-02-16,6-1,296,LSU,NA,00-0010711,NA,NA,NA,NA,536,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCC451792.png
2010,ATL,C,NA,66,CUT,Brett Romberg,Brett,Romberg,1979-10-10,6-2,293,Miami (Fla.),NA,00-0021464,NA,NA,NA,NA,1692,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROM401787.png
2010,ATL,C,NA,69,CUT,Blake Schlueter,Blake,Schlueter,1986-04-22,6-2,279,Texas Christian,NA,00-0026949,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SCH245548.png
2010,ATL,CB,NA,20,ACT,Brent Grimes,Brent,Grimes,1983-07-19,5-10,181,Shippensburg,NA,00-0024183,NA,NA,NA,NA,3589,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRI674817.png
2010,ATL,CB,NA,23,ACT,Dunta Robinson,Dunta,Robinson,1982-04-11,5-10,182,South Carolina,NA,00-0022735,NA,NA,NA,NA,1731,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROB407958.png
2010,ATL,CB,NA,21,ACT,Chris Owens,Chris,Owens,1986-12-01,5-9,179,San Jose State,NA,00-0027062,NA,NA,NA,NA,5013,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/OWE276284.png
2010,ATL,DB,NA,NA,CUT,Dominique Daniels,Dominique,Daniels,1988-06-20,6-2,190,Nicholls State,Kingswood-Oxford (CT),NA,4044121,af534c7d-791e-4b7f-900d-2d8fd47c0d2a,33209,14503,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAN554966.png
2010,ATL,DB,NA,NA,CUT,Gabriel Derricks,Gabriel,Derricks,1988-01-08,6-2,202,San Diego,Kingswood-Oxford (CT),NA,4044121,af534c7d-791e-4b7f-900d-2d8fd47c0d2a,33209,14503,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DER777570.png
2010,ATL,DB,NA,36,ACT,Rafael Bush,Rafael,Bush,1987-05-12,5-11,197,South Carolina State,NA,00-0027195,NA,NA,NA,NA,5779,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUS288052.png
2010,ATL,DB,NA,24,ACT,Dominique Franks,Dominique,Franks,1987-10-08,5-11,194,Oklahoma,NA,00-0027735,NA,NA,NA,NA,5658,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FRA586643.png
2010,ATL,DB,NA,NA,CUT,Eric Brock,Eric,Brock,1985-04-04,6-0,204,Auburn,NA,00-0026447,NA,NA,NA,NA,4817,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO024800.png
2010,ATL,DB,NA,40,CUT,Daylan Walker,Daylan,Walker,1986-09-22,5-9,177,Arkansas State,NA,00-0027580,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAL000001.png
2010,ATL,DB,NA,29,ACT,Brian Williams,Brian,Williams,1979-07-02,5-11,202,North Carolina State,NA,00-0021229,NA,NA,NA,NA,1106,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL162415.png
2010,ATL,DB,NA,39,RES,Shann Schillinger,Shann,Schillinger,1986-05-22,6-0,202,Montana,NA,00-0027770,NA,NA,NA,NA,5694,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SCH181452.png
2010,ATL,DE,NA,92,ACT,Chauncey Davis,Chauncey,Davis,1983-01-27,6-2,262,Florida State,NA,00-0023562,NA,NA,NA,NA,2345,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV232877.png
2010,ATL,DE,NA,NA,CUT,Maurice Lucas,Maurice,Lucas,1987-03-26,6-4,267,Colorado,NA,00-0026506,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LUC082980.png
2010,ATL,DE,NA,90,ACT,Lawrence Sidbury,Lawrence,Sidbury,1986-02-06,6-3,265,Richmond,NA,00-0027090,NA,NA,NA,NA,5049,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SID063890.png
2010,ATL,DE,NA,96,DEV,Emmanuel Stephens,Emmanuel,Stephens,1987-02-17,6-3,255,Mississippi,NA,00-0027204,NA,NA,NA,NA,5786,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STE362707.png
2010,ATL,DE,NA,71,ACT,Kroy Biermann,Kroy,Biermann,1985-09-12,6-3,260,Montana,NA,00-0026294,NA,NA,NA,NA,4468,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BIE712400.png
2010,ATL,DE,NA,55,ACT,John Abraham,John,Abraham,1978-05-06,6-4,263,South Carolina,NA,00-0019546,NA,NA,NA,NA,591,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ABR073003.png
2010,ATL,DE,NA,98,ACT,Jamaal Anderson,Jamaal,Anderson,1986-02-06,6-6,289,Arkansas,NA,00-0025395,NA,NA,NA,NA,3624,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AND289942.png
2010,ATL,DT,NA,64,CUT,Rajon Henley,Rajon,Henley,1988-03-22,6-3,244,Texas Tech,NA,00-0027227,NA,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HEN483842.png
