season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url
2021,ARI,CB,NA,23,Inactive,Robert Alford,Robert,Alford,1988-11-01,70,186,Southeastern Louisiana,Hammond (LA),00-0030528,15817,4f5ca039-21f3-4045-9c2e-c0b4d5d564c5,26683,8645,7841,AlfoRo00,15177,1540,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wbev0tvoeyqqhatigwgp"
2021,ARI,DB,NA,38,Inactive,James Wiggins,James,Wiggins,1997-04-26,71,205,Cincinnati,South Dade Senior (FL),00-0036889,NA,ba7e7289-6b7f-4db1-85aa-514d4fa0d367,NA,15342,NA,WiggJa00,NA,7762,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iufv0wsujqf6sbvpr7qd"
2021,ARI,DB,NA,37,Active,Nate Brooks,Nate,Brooks,1996-09-05,72,192,North Texas,Whitehouse (TX),00-0035485,3914477,ea8d0a80-2de3-4715-bcce-710f625ccb6a,32472,13969,49572,BrooNa00,21414,6634,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w6qaip4eq1alfqlslztv"
2021,ARI,DB,SS,34,Active,Jalen Thompson,Jalen,Thompson,1998-07-18,71,190,Washington State,Downey (CA),00-0035705,4043089,56992f39-70e7-4b6a-86da-0a4776504e7a,32623,14330,49116,ThomJa04,21635,6711,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ldeja3lkrjadp11cz1jo"
2021,ARI,DB,FS,28,Active,Charles Washington,Charles,Washington,1993-03-10,70,192,Fresno State,Crespi (CA),00-0032560,2579163,7757384a-6b03-41fb-9c77-3c016a968d1c,29781,11341,11137,WashCh01,18521,3714,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ngulbwqmqlrkarvyvhqs"
2021,ARI,DB,NA,32,Active,Javon Hagan,Javon,Hagan,1997-02-22,72,215,Ohio,Trinity Christian Academy (FL),00-0036046,3920823,4f13ee42-4af7-4719-bce6-60a426036fd5,33273,14916,51256,NA,22431,7453,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s2vs6tgopxphfyms4wmd"
2021,ARI,DB,SS,22,Active,Deionte Thompson,Deionte,Thompson,1997-02-11,73,195,Alabama,West Orange-Stark (TX),00-0035532,3859100,db3a0416-6758-485d-89e1-806af99e0991,31971,13586,25444,ThomDe06,20729,5866,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icddsdkmmzg6ecyjwbzz"
2021,ARI,DB,FS,31,Active,Chris Banjo,Chris,Banjo,1990-02-26,70,207,SMU,Kempner (TX),00-0029747,15782,6c7704c2-f833-46aa-9f9c-d975d5ad1297,26621,9101,8419,BanjCh00,15011,1442,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ibqowvcvkzurwo95ukg9"
2021,ARI,DB,FS,3,Active,Budda Baker,Budda,Baker,1996-01-10,70,195,Washington,Bellevue (WA),00-0033890,3127287,5ce20f3e-0f02-4f53-a2ef-5b076361f2b1,30149,11986,11791,BakeBu00,18927,4081,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vjnvbbuuyocheang9bs7"
2021,ARI,DE,NT,92,Inactive,Zach Kerr,Zach,Kerr,1990-08-29,74,335,Delaware,Quince Orchard (MD),00-0031105,17071,5165ce25-382b-4809-83b7-8c66d93c2aef,27905,9637,9195,KerrZa00,16226,1965,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lbgusliinlqxlnd06gdt"
2021,ARI,DE,NA,61,Active,Moubarak Djeri,Moubarak,Djeri,NA,6-3,275,no college,NA,NA,4325329,75f445e3-0fc9-45e5-8f1e-767022f0332a,30969,12978,NA,NA,19821,4957,1,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4325329.png
2021,ARI,DE,RDE,94,Active,Zach Allen,Zach,Allen,1997-08-20,76,281,Boston College,New Canaan (CT),00-0035248,3915282,f68685e7-9904-47bc-b39a-e1c813435385,31897,13742,49605,AlleZa01,20738,5871,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/et8cdmbhezv5wtvhcaae"
2021,ARI,DE,RDE,97,Inactive,Jordan Phillips,Jordan,Phillips,1992-09-21,78,341,Oklahoma,Circle (KS),00-0031557,2577466,023af11a-3aa1-4266-b163-31cf6369ef3b,28440,10311,9485,PhilJo01,16813,2357,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ed1aulasdtwnbrhhwsfp"
2021,ARI,DE,NA,99,Inactive,J.J. Watt,J.J.,Watt,1989-03-22,77,288,Wisconsin,Pewaukee (WI),00-0027949,13979,dc11299d-6c24-4048-8b2f-f929e4ed0b92,24798,7323,6163,WattJ.00,12955,856,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g0jdwpajz08yavwlrcem"
2021,ARI,DE,RDE,96,Active,Ryan Bee,Ryan,Bee,1995-11-12,6-7,280,Marshall,Hillsdale (OH),00-0034939,3139448,fe9c0458-1a1a-4e88-b974-2de7426fa520,32180,14057,36551,BeexRy00,21403,6400,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g82sj6lvh3nolr9w4bdd"
2021,ARI,DE,RDE,93,Active,Jonathan Ledbetter,Jonathan,Ledbetter,1997-09-12,76,280,Georgia,Tucker (GA),00-0035343,3728308,c03646a8-503b-49a9-8251-b9c44f13a2ff,32440,13787,18645,LedbJo01,20854,5945,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qjno4vv9ldmwjm29q1c7"
2021,ARI,DE,DT,91,Active,Michael Dogbe,Michael,Dogbe,1996-05-05,75,295,Temple,Parsippany Hills (NJ),00-0035541,3138765,cf0c253d-45bd-48f5-9602-88c3d9ca1082,32081,13709,48850,DogbMi00,21141,6304,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ghbwrdzqhjpvdvohurw6"
2021,ARI,DE,NA,96,Active,Josh Mauro,Josh,Mauro,1991-02-17,78,282,Stanford,L.D. Bell (TX),00-0030883,17017,6399b33c-6d3d-4fc5-b142-1a5deb33ef76,27815,9412,9003,MaurJo00,16153,1920,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dsnqho672kqis1vajzhq"
2021,ARI,DE,NA,56,Active,Matt Dickerson,Matt,Dickerson,1995-11-09,77,292,UCLA,Junipero Serra (CA),00-0034657,3134316,7bce07de-7179-459c-97a4-279fb53641a2,31612,12973,49601,DickMa00,20380,5615,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/at7kcfpewow4ufsgi6wj"
2021,ARI,DT,NT,98,Active,Corey Peters,Corey,Peters,1988-06-08,75,335,Kentucky,Central (KY),00-0027686,13292,a50e3085-370b-4fd2-b79a-28d3b9c5c1c7,24058,6682,5607,PeteCo00,11437,608,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zutvrtzwir9awk4zh7yn"
2021,ARI,DT,NT,93,Active,David Parry,David,Parry,1992-03-07,6-2,317,Stanford,Linn-Marr (IA),00-0031592,2517779,376a61bd-de05-4fb1-a698-7f93fd1a102c,28539,10461,9584,ParrDa00,16911,2454,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/se6uhfcrrk3c5zbacrmh"
2021,ARI,DT,DT,95,Active,Leki Fotu,Leki,Fotu,1998-08-23,77,330,Utah,Herriman (UT),00-0036371,4035666,2040899a-0b04-4de7-900b-f9e6861c6150,32784,14712,44614,FotuLe00,22083,6948,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ork9ota77doj6oaixzjy"
2021,ARI,DT,NT,90,Active,Rashard Lawrence,Rashard,Lawrence,1998-08-27,74,308,LSU,Neville (LA),00-0036373,4035452,6e9763f5-2f5c-45d4-b50b-d7bbf91e1a65,32801,14717,44515,LawrRa01,21885,7004,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hkxmfn0cqy0ewikfzoja"
2021,ARI,DT,NA,69,Inactive,Jack Crawford,Jack,Crawford,1988-09-07,77,288,Penn State,St. Augustine Prep (NJ),00-0029627,15090,3a2a4022-a54c-4325-b521-e46e460559ab,25868,8148,7151,CrawJa00,14096,1136,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y5hjl6vr71qzqjxgimdo"
2021,ARI,DT,NA,70,Active,Darius Kilgo,Darius,Kilgo,1991-12-14,6-3,312,Maryland,Weddington (NC),00-0032138,2512544,d3186202-386f-443e-92ad-37d8e41dca55,28591,10485,9636,KilgDa01,16963,2504,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mceptbsvkcotyalm6qav"
2021,ARI,FB,NA,45,Active,Austin Ramesh,Austin,Ramesh,NA,6-1,251,None,NA,NA,3053124,2510a6c1-aabd-4d23-ae14-166c19f898e7,31319,13076,NA,NA,20210,5238,1,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3053124.png
2021,ARI,FS,NA,44,Active,Kentrell Brice,Kentrell,Brice,1994-08-11,5-11,200,Louisiana Tech,Ruston (LA),00-0032628,2971881,64d8dddf-b3fe-4146-8d08-36e9c0b6eede,29720,11204,11142,BricKe00,18524,3716,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zrvzbjooaikcz6owdhhr"
2021,ARI,FS,NA,43,Active,T.J. Ward,T.J.,Ward,1986-12-12,5-10,200,Oregon,De La Salle (CA),NA,13304,cca4c795-7fa2-479c-9395-dff76a0abb20,24013,6657,NA,NA,11054,535,10,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13304.png
2021,ARI,K,K,5,Active,Matt Prater,Matt,Prater,1984-08-10,70,201,Central Florida,Estero (FL),00-0023853,11122,67f5e782-f91c-4536-9818-cf4a0e7e821d,8565,5051,3471,PratMa20,549,17,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wgkvdhqq950yzf14xnnb"
2021,ARI,LB,LILB,45,Active,Dennis Gardeck,Dennis,Gardeck,1994-08-09,72,232,Sioux Falls,Crystal Lake South (IL),00-0034473,4334300,48700b7b-210c-4ced-9c57-3e21162e7752,31299,13210,66928,GardDe01,20085,5158,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f4fstnrgtkcxyqycfejs"
2021,ARI,LB,ROLB,42,Active,Devon Kennard,Devon,Kennard,1991-06-24,75,256,USC,Desert Vista (AZ),00-0031241,16820,036131ed-3862-4f06-8379-084d3b2352d5,27702,9377,8809,KennDe00,16397,2084,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycoucw09mfkoywlukpkl"
2021,ARI,LB,NA,35,Active,Tahir Whitehead,Tahir,Whitehead,1990-04-02,73,228,Temple,West Side (NJ),00-0029212,15070,70eae82c-30ea-491f-b71c-aa11f47af476,25848,8341,7135,WhitTa00,14225,1160,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/clmf6l7emurgnwhkn6yy"
2021,ARI,LB,NA,58,Active,Stephone Anthony,Stephone,Anthony,1992-07-28,6-3,245,Clemson,Anson (NC),00-0032102,2576482,e2a4fca8-0482-442e-93f7-3cef0fb2358d,28419,10355,9464,AnthSt00,16792,2336,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tk2cy125ubb6lluib5ob"
2021,ARI,LB,NA,47,Inactive,Ezekiel Turner,Ezekiel,Turner,1996-06-09,74,214,Washington,Glen Burnie (MD),00-0034490,3894901,83849bc5-0b6c-4c76-b622-9c7042758e97,31324,13222,49167,TurnZe00,20088,5161,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xvtwdaj6iezbbfm9pikb"
2021,ARI,LB,ROLB,52,Active,Victor Dimukeje,Victor,Dimukeje,1999-11-18,74,265,Duke,Boys' Latin School (MD),00-0036896,NA,0e6f6610-0276-4229-9cf1-66f0d011c1a9,NA,15625,56347,DimuVi00,NA,7788,0,NA
2021,ARI,LB,NA,49,Inactive,Kylie Fitts,Kylie,Fitts,1994-10-11,76,260,Utah,Redlands East Valley (CA),00-0034404,3047582,ec198436-31b1-458e-a47b-9d1cd134300f,31151,12823,48553,FittKy00,19965,5069,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/adqckkqriptgvu0qfs8s"
2021,ARI,LB,NA,50,Active,Nate Hall,Nate,Hall,1996-04-06,74,231,Northwestern,Southview (OH),00-0035415,3116134,2b13e2a3-22c5-41cc-b13f-30c501f7c810,32206,13860,51497,HallNa01,20783,6027,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ll8hvzpevmfiyaiz27gp"
2021,ARI,LB,RILB,58,Active,Jordan Hicks,Jordan,Hicks,1992-06-27,73,236,Texas,Lakota West (OH),00-0032129,2514270,4f090881-03fc-4a34-b02f-fd1df1e411de,28472,10452,9517,HickJo00,16845,2389,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gzdj219b8zedrwdkxnzc"
2021,ARI,LB,NA,43,Active,Donald Rutledge,Donald,Rutledge,1997-05-22,6-1,210,Georgia Southern,Crestwood (SC),00-0035855,3928847,b4a1df84-9467-48b0-bf65-053744916892,33218,14936,NA,NA,22281,7285,1,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3928847.png
2021,ARI,LB,LILB,51,Inactive,Tanner Vallejo,Tanner,Vallejo,1994-12-16,73,230,Boise State,Nevada Union (CA),00-0033580,3042895,23f29e42-92e5-41b2-88eb-b9fb17a0eede,30308,11982,11950,VallTa00,19071,4225,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fsrulo5ourwvmwrj2wrj"
2021,ARI,LB,ROLB,44,Active,Markus Golden,Markus,Golden,1991-03-13,75,260,Missouri,Afton (MO),00-0032127,2971432,78eb0872-fff0-4fc2-94ee-6a5c518ecaa5,28446,10329,9491,GoldMa00,16819,2363,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jao1rsr66uychiz4i2gb"
2021,ARI,LB,NA,0,Inactive,Jamell Garcia-Williams,Jamell,Garcia-Williams,1997-01-24,6-8,255,Alabama-Birmingham,Palo Verde (NV),00-0035023,4239787,0643e15e-76f5-4eea-a08e-d35eba7f13f7,32320,14073,56886,NA,20765,6096,2,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4239787.png
2021,ARI,LB,NA,56,Active,Reggie Walker,Reggie,Walker,1986-12-15,6-0,244,Kansas State,Grant Union (CA),NA,12905,89be4a71-66f0-4566-8e85-372e8b4e6412,NA,NA,NA,NA,12101,694,12,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12905.png
2021,ARI,LB,LOLB,55,Active,Chandler Jones,Chandler,Jones,1990-02-27,77,265,Syracuse,Union-Endicott (NY),00-0029585,14927,5197def5-f444-4561-ad28-7aac10dc748e,25731,8140,7027,JoneCh03,13749,1038,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ltig9evwpll5gqeh9cza"
2021,ARI,LB,RILB,59,Active,Reggie Walker,Reggie,Walker,1996-04-22,6-2,250,Kansas State,Ponchatoula (LA),00-0035923,4046605,75513062-bfe5-4e32-af04-04a805c0fd8d,33086,15102,26885,NA,22383,7398,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r6h4idrimpcuhxnox4cf"
2021,ARI,LB,RILB,25,Active,Zaven Collins,Zaven,Collins,1999-05-19,76,260,Tulsa,Hominy (OK),00-0036933,NA,61fda7fc-a8d7-435f-9397-5657662cd6b2,NA,15288,77190,CollZa00,NA,7637,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dquv31sqodc4adfzqs13"
2021,ARI,LB,NA,56,Active,Bryson Young,Bryson,Young,1998-03-26,6-4,242,Oregon,Buchanan (CA),NA,NA,975de072-24f3-4345-bbb1-ccdf48f87d83,33069,15002,NA,NA,22186,7184,1,NA
2021,ARI,LB,NA,54,Active,Terrance Smith,Terrance,Smith,1993-05-03,6-2,235,Florida State,Southwest DeKalb (GA),00-0032820,2576809,dc447507-2380-494c-96c9-e0edb2679a3c,29885,11179,11181,SmitTe04,18180,3417,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/liukqrzydmticfswfqca"
2021,ARI,LB,RILB,50,Active,Evan Weaver,Evan,Weaver,1998-08-11,6-3,245,California,Gonzaga Prep (WA),00-0036381,4035875,41dabf34-2055-4420-8aef-c222d7df48e6,32872,14752,38534,NA,22002,7040,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/thmttaiwhwpin0p5l2mb"
2021,ARI,LB,NA,59,Active,Joe Walker,Joe,Walker,1992-12-11,74,236,Oregon,Palos Verdes (CA),00-0032809,3043184,897fc741-34bd-4f34-a1ed-125d56805b70,29485,11247,10885,WalkJo01,18167,3406,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rrdkwvqvkpxc8flfhz03"
2021,ARI,LB,LILB,9,Active,Isaiah Simmons,Isaiah,Simmons,1998-07-26,76,238,Clemson,Olathe North (KS),00-0036356,4035462,b87d80b7-f129-4f3d-938a-1272f8122589,32678,14525,42451,SimmIs00,22004,6781,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o0xgwhoevo1fpjrowgpq"
2021,ARI,LS,NA,47,Active,Drew Williams,Drew,Williams,1994-06-17,6-2,190,None,NA,NA,3048925,da99611b-81f8-43f3-861c-7e9bbbe3452b,30966,12536,NA,NA,19777,4877,1,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3048925.png
2021,ARI,LS,NA,43,Active,Beau Brinkley,Beau,Brinkley,1990-01-25,6-4,237,Missouri,Kearney (MO),00-0029134,15355,f5fe1cf6-ce57-4d6f-b2d4-6ebc3a18e336,26016,8532,7418,BrinBe00,14590,1245,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ticxxagivnhichqz26xp"
2021,ARI,LS,NA,46,Active,Aaron Brewer,Aaron,Brewer,1990-07-05,77,232,San Diego State,Troy (CA),00-0028946,15241,99149c69-e14f-4e05-9c3a-8ae7e3b1f00b,25976,8543,7301,BrewAa00,14042,1122,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xkqdranqre1opb1m4crn"
2021,ARI,OL,NA,78,Active,Cam Murray,Cam,Murray,1997-11-06,6-2,294,Oklahoma State,Bryant (AR),00-0036809,NA,c33e9d4b-dce7-452c-81e5-9737c158e803,NA,15716,42756,NA,NA,8060,0,NA
2021,ARI,OL,RG,79,Active,Josh Jones,Josh,Jones,1997-06-22,79,319,Houston,George Bush (TX),00-0036363,3914630,476d6de7-0d10-4f9c-96c9-2bd289052dce,32742,14584,26634,JoneJo07,22029,6808,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wis4mf5zhlerwiwxjpid"
2021,ARI,OL,NA,53,Active,Marcus Henry,Marcus,Henry,1993-02-11,74,303,Boise State,Bellevue (WA),00-0032877,2573307,5a1e63b3-6dcc-48f5-927c-0fc141085f32,29849,11504,11228,NA,18274,3508,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hfefeudyf0tsaw3xuhux"
2021,ARI,OL,C,61,Active,Rodney Hudson,Rodney,Hudson,1989-07-12,74,315,Florida State,Rain (AL),00-0027993,14013,1f0d9995-7ace-44ab-8d61-2f3924d5b75d,24842,7439,6207,HudsRo00,13037,879,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wlopjs0c2vaepskhjegj"
2021,ARI,OL,RT,68,Active,Kelvin Beachum,Kelvin,Beachum,1989-06-08,75,308,SMU,Mexia (TX),00-0029316,15035,d96246d7-aa2c-4d05-9c58-8d6bc5e20cdf,25958,8243,7229,BeacKe00,13913,1088,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ep8usi9oeooni8u2nkg2"
2021,ARI,OL,RT,66,Active,Joshua Miles,Joshua,Miles,1996-01-04,77,314,Morgan State,Western Tech (MD),00-0035317,3120434,c0221755-d6a6-4f55-9ed3-672a9625ee6c,32080,13681,29038,MileJo00,21140,6303,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oai3lusck14d6vwsft8v"
2021,ARI,OL,RG,75,Active,Branden Bowen,Branden,Bowen,1996-09-12,6-7,315,Ohio State,Corner Canyon (UT),00-0035948,3915509,be193ede-9edf-4c21-aa48-35310703da14,33134,14966,28023,NA,22221,7219,1,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3915509.png
2021,ARI,OL,NA,71,Inactive,Justin Murray,Justin,Murray,1993-04-19,77,315,Cincinnati,Sycamore (OH),00-0032528,2576585,87f9b9a9-5362-4947-8fc4-3b718b00566a,29625,11424,11022,MurrJu00,18416,3629,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g07zd2yv3k7hiforushp"
2021,ARI,OL,NA,68,Active,Austin Olsen,Austin,Olsen,NA,6-5,315,None,NA,NA,3049219,870b53b7-1a36-487c-b086-b0daf0f5ce08,31316,13216,NA,NA,20212,5515,0,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3049219.png
2021,ARI,OL,C,64,Active,Sean Harlow,Sean,Harlow,1995-03-28,76,284,Oregon State,San Clemente (CA),00-0033511,3045286,f4f08533-c692-4aba-84fe-fc21101c7bda,30249,11796,11891,HarlSe00,19001,4155,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/x8jk9auuzlw8gfoq4ud8"
2021,ARI,OL,RG,65,Inactive,Brian Winters,Brian,Winters,1991-07-10,6-4,320,Kent State,Hudson (OH),00-0030066,15879,1bdb2a2a-62bc-4043-8c80-f9b501d2003d,26695,8738,7853,WintBr00,14896,1374,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/usbhho5ygjixpjdocdtn"
2021,ARI,OL,LG,67,Active,Justin Pugh,Justin,Pugh,1990-08-15,77,311,Syracuse,Council Rock South (PA),00-0030585,15808,b6fe2eb8-3692-450a-98b3-11e47c8b6711,26642,8733,7800,PughJu00,15094,1496,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lu9ibbta8xxrt9pe3i4s"
2021,ARI,OL,NA,60,Active,Koda Martin,Koda,Martin,1995-08-21,6-7,300,Syracuse,Manvel (TX),00-0035431,3122145,1dc22599-4ce9-49c2-bc8a-179a50e13cc1,32546,13963,46231,NA,21160,6560,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bkhulmgbsse8pqbmqq8o"
2021,ARI,OL,RG,73,Active,Max Garcia,Max,Garcia,1991-11-09,76,309,Florida,Norcross (GA),00-0032132,2512538,f19b687d-b81f-4104-9151-92e2af7d234d,28521,10279,9566,GarcMa00,16894,2437,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gnr0itknbzjpxvumexx8"
2021,ARI,OL,NA,63,Active,Danny Isidora,Danny,Isidora,1994-06-05,75,306,Miami (FL),Cypress Bay (FL),00-0033960,2969959,e805571c-fc68-438c-b8db-2d1286d99182,30293,11798,11933,IsidDa00,19055,4209,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jgyogn8mzp7igevahqaa"
2021,ARI,OL,LT,74,Active,D.J. Humphries,D.J.,Humphries,1993-12-28,77,307,Florida,Mallard Creek (NC),00-0032222,2971048,90d9c6b2-3970-45e1-a558-b68a977a8995,28412,10259,9457,HumpD.00,16785,2329,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c4cqr1mqscolp3q0ufcx"
2021,ARI,OT,NA,76,Active,Marcus Gilbert,Marcus,Gilbert,1988-02-15,6-6,330,Florida,St. Thomas Aquinas (FL),00-0028001,13998,cb332cbe-4490-48c6-9a21-046475206e07,24850,7552,6215,GilbMa00,12897,842,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xwdcj8ctkxjqlx6rd3z2"
2021,ARI,P,NA,9,Active,Richie Leone,Richie,Leone,1992-03-10,6-3,222,Houston,Roswell (GA),NA,17197,44f6c82c-528a-41fe-9cfb-721ab4a4c1a1,27982,9672,NA,NA,16090,1873,6,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17197.png
